Date,Day_of_Week,Season,Weather,Product,Category,Unit_Price,Num_Customers,Sales,Stocks,Shelf_Life,Days_Until_Next_Purchase,Event,Purchase_Quantity
2003-12-31,Wednesday,Winter,Cloudy,Cheese,Dairy,28.0,7400,4439735.499734395,19,90,90,None,77
2004-01-03,Saturday,Winter,Snowy,Apples,Fruits,4.4,6225,3719154.7759723845,22,30,30,Holiday Special,72
2003-12-31,Wednesday,Winter,Cloudy,Salmon,Other,36.8,7284,4364529.925884204,2,3,1,New Year,82
2003-12-31,Wednesday,Winter,Cloudy,Salmon,Other,36.8,7527,4491939.759908754,13,3,3,New Year,72
2003-12-31,Wednesday,Winter,Cloudy,Salmon,Other,36.8,7424,4450466.328771052,24,3,3,New Year,75
2003-12-31,Wednesday,Winter,Snowy,Eggs,Dairy,7.2,5625,3375791.3673402765,9,21,1,New Year,70
2004-01-05,Monday,Winter,Cloudy,Potatoes,Vegetables,1.4,7255,4384918.788856667,18,90,90,None,78
2004-01-06,Tuesday,Winter,Snowy,Potatoes,Vegetables,1.4,5617,3376518.9299219325,6,90,1,Seasonal Event,75
2004-01-03,Saturday,Winter,Cold,Salmon,Other,36.8,7479,4500076.694750616,11,3,3,None,74
2003-12-31,Wednesday,Winter,Cloudy,Chicken,Meat,19.5,7399,4440621.100733606,11,5,5,None,74
2003-12-31,Wednesday,Winter,Snowy,Chicken,Meat,19.5,5568,3354471.432077512,21,5,5,None,60
2004-01-03,Saturday,Winter,Snowy,Apples,Fruits,4.4,5868,3514398.3204087107,28,30,30,Special Promotion,60
2004-01-09,Friday,Winter,Cold,Tomatoes,Vegetables,12.5,7761,4627737.810023924,5,10,1,Seasonal Event,84
2004-01-07,Wednesday,Winter,Snowy,Lettuce,Vegetables,6.0,5785,3472918.6971719777,18,5,5,Birthdays,60
2004-01-08,Thursday,Winter,Snowy,Pork,Other,25.6,5696,3438828.45036913,26,7,7,Birthdays,65
2004-01-02,Friday,Winter,Snowy,Chicken,Meat,19.5,5634,3414839.0257586525,24,5,5,Corporate Event,60
2004-01-07,Wednesday,Winter,Cloudy,Milk,Dairy,5.2,7214,4329878.190159794,8,7,1,Birthdays,88
2004-01-08,Thursday,Winter,Snowy,Potatoes,Vegetables,1.4,5331,3184842.2347847223,26,90,90,Corporate Event,65
2004-01-12,Monday,Winter,Snowy,Tomatoes,Vegetables,12.5,5748,3450627.3771804874,21,10,10,Holiday Special,60
2004-01-02,Friday,Winter,Snowy,Eggs,Dairy,7.2,6014,3599149.983038988,30,21,21,Birthdays,72
2003-12-31,Wednesday,Winter,Cold,Cheese,Dairy,28.0,7519,4541082.871845635,5,90,1,None,89
2004-01-04,Sunday,Winter,Cold,Eggs,Dairy,7.2,7260,4335189.438043435,16,21,21,Holiday Special,75
2004-01-06,Tuesday,Winter,Snowy,Salmon,Other,36.8,5557,3313121.4829718787,2,3,1,None,70
2004-01-08,Thursday,Winter,Cloudy,Lettuce,Vegetables,6.0,7376,4414903.653749199,5,5,1,None,81
2004-01-02,Friday,Winter,Cold,Cheese,Dairy,28.0,7616,4601366.948670996,17,90,90,Special Promotion,79
2004-01-02,Friday,Winter,Snowy,Cheese,Dairy,28.0,6064,3630480.346165941,8,90,1,None,85
2004-01-09,Friday,Winter,Snowy,Lettuce,Vegetables,6.0,6374,3804524.400578507,6,5,1,Corporate Event,83
2004-01-15,Thursday,Winter,Cold,Tomatoes,Vegetables,12.5,7399,4446721.922733431,27,10,10,None,73
2004-01-10,Saturday,Winter,Cloudy,Pork,Other,25.6,7498,4493054.58940752,23,7,7,Special Promotion,76
2004-01-15,Thursday,Winter,Cloudy,Tomatoes,Vegetables,12.5,7278,4375593.941604473,21,10,10,None,73
2004-01-02,Friday,Winter,Cold,Cheese,Dairy,28.0,7390,4447516.453540164,29,90,90,None,79
2004-01-16,Friday,Winter,Cold,Tomatoes,Vegetables,12.5,7405,4463293.630667411,28,10,10,Birthdays,75
2004-01-02,Friday,Winter,Cold,Chicken,Meat,19.5,7263,4332595.369275999,17,5,5,Seasonal Event,70
2004-01-03,Saturday,Winter,Cloudy,Chicken,Meat,19.5,7434,4443553.046657745,28,5,5,Seasonal Event,71
2004-01-11,Sunday,Winter,Snowy,Potatoes,Vegetables,1.4,5625,3398426.364592625,1,90,1,Special Promotion,75
2004-01-06,Tuesday,Winter,Cold,Eggs,Dairy,7.2,7148,4287944.252918165,30,21,21,None,72
2004-01-13,Tuesday,Winter,Cold,Pork,Other,25.6,7145,4293582.902866146,24,7,7,None,80
2004-01-09,Friday,Winter,Cloudy,Milk,Dairy,5.2,7368,4423934.909280792,9,7,1,None,88
2004-01-05,Monday,Winter,Cold,Chicken,Meat,19.5,6983,4189287.3742997586,7,5,1,Birthdays,85
2004-01-12,Monday,Winter,Cloudy,Potatoes,Vegetables,1.4,7391,4435168.862452217,15,90,90,Holiday Special,80
2004-01-06,Tuesday,Winter,Cold,Apples,Fruits,4.4,7405,4432353.606257044,7,30,1,Special Promotion,80
2004-01-16,Friday,Winter,Snowy,Tomatoes,Vegetables,12.5,5880,3567314.3285911437,8,10,1,Special Promotion,70
2004-01-06,Tuesday,Winter,Snowy,Apples,Fruits,4.4,5506,3290833.412611292,15,30,30,Corporate Event,60
2004-01-08,Thursday,Winter,Cold,Eggs,Dairy,7.2,7242,4394578.276584826,23,21,21,Special Promotion,71
2004-01-02,Friday,Winter,Snowy,Cheese,Dairy,28.0,5683,3412555.9814370503,1,90,1,Seasonal Event,75
2004-01-11,Sunday,Winter,Cold,Eggs,Dairy,7.2,7292,4341445.985471936,5,21,1,Corporate Event,85
2004-01-09,Friday,Winter,Cloudy,Apples,Fruits,4.4,7519,4513357.910269686,30,30,30,Holiday Special,73
2004-01-09,Friday,Winter,Cold,Apples,Fruits,4.4,7294,4377069.133805671,12,30,30,Seasonal Event,70
2004-01-07,Wednesday,Winter,Cold,Chicken,Meat,19.5,6775,4102197.5704474845,29,5,5,Holiday Special,72
2004-01-12,Monday,Winter,Snowy,Milk,Dairy,5.2,5427,3252135.3563024458,15,7,7,None,65
2004-01-14,Wednesday,Winter,Cloudy,Potatoes,Vegetables,1.4,7062,4239548.399900945,17,90,90,None,78
2004-01-09,Friday,Winter,Cloudy,Lettuce,Vegetables,6.0,7605,4551906.4930153,23,5,5,Seasonal Event,70
2004-01-09,Friday,Winter,Cloudy,Apples,Fruits,4.4,7220,4325278.139868731,23,30,30,Holiday Special,74
2004-01-15,Thursday,Winter,Cloudy,Milk,Dairy,5.2,7533,4515434.813335121,3,7,1,None,85
2004-01-15,Thursday,Winter,Cloudy,Pork,Other,25.6,7584,4516684.006784472,13,7,7,None,80
2004-01-06,Tuesday,Winter,Snowy,Salmon,Other,36.8,5635,3364598.4756806623,6,3,1,Holiday Special,70
2004-01-09,Friday,Winter,Cold,Lettuce,Vegetables,6.0,7539,4519330.713609988,30,5,5,None,70
2004-01-14,Wednesday,Winter,Cloudy,Potatoes,Vegetables,1.4,7258,4350833.510406036,10,90,90,Seasonal Event,78
2004-01-10,Saturday,Winter,Snowy,Chicken,Meat,19.5,6093,3666887.1492729653,25,5,5,Holiday Special,75
2004-01-17,Saturday,Winter,Cold,Milk,Dairy,5.2,7233,4338439.301935865,8,7,1,None,85
2004-01-14,Wednesday,Winter,Cold,Eggs,Dairy,7.2,7261,4350010.670983901,4,21,1,Seasonal Event,81
2004-01-16,Friday,Winter,Cold,Tomatoes,Vegetables,12.5,7765,4655039.7908406835,5,10,1,Corporate Event,84
2004-01-09,Friday,Winter,Cold,Lettuce,Vegetables,6.0,7617,4580822.897755078,12,5,5,None,72
2004-01-15,Thursday,Winter,Cold,Potatoes,Vegetables,1.4,7615,4569959.170226078,4,90,1,Holiday Special,87
2004-01-20,Tuesday,Winter,Cloudy,Milk,Dairy,5.2,7002,4183107.7646483523,9,7,1,Holiday Special,90
2004-01-17,Saturday,Winter,Cold,Tomatoes,Vegetables,12.5,7538,4481410.377054126,22,10,10,None,70
2004-01-02,Friday,Winter,Cloudy,Cheese,Dairy,28.0,7300,4382707.186687508,30,90,90,Birthdays,80
2004-01-20,Tuesday,Winter,Snowy,Tomatoes,Vegetables,12.5,5666,3387620.61839489,30,10,10,Seasonal Event,60
2004-01-15,Thursday,Winter,Cloudy,Potatoes,Vegetables,1.4,7183,4321216.286465818,10,90,90,None,80
2004-01-11,Sunday,Winter,Cloudy,Apples,Fruits,4.4,7621,4569010.820571176,29,30,30,Corporate Event,74
2004-01-23,Friday,Winter,Cold,Tomatoes,Vegetables,12.5,7503,4482360.501855985,23,10,10,Seasonal Event,73
2004-01-21,Wednesday,Winter,Snowy,Milk,Dairy,5.2,6002,3597863.3072771053,29,7,7,Holiday Special,80
2004-01-15,Thursday,Winter,Snowy,Pork,Other,25.6,5533,3320710.1348608476,2,7,1,None,75
2004-01-15,Thursday,Winter,Snowy,Pork,Other,25.6,5551,3337638.1233258885,22,7,7,None,65
2004-01-12,Monday,Winter,Cloudy,Lettuce,Vegetables,6.0,7090,4299822.809480619,19,5,5,None,70
2004-01-24,Saturday,Winter,Cold,Milk,Dairy,5.2,7234,4344153.372227787,3,7,1,Corporate Event,87
2004-01-16,Friday,Winter,Cloudy,Pork,Other,25.6,7194,4285780.72466861,15,7,7,None,76
2004-01-12,Monday,Winter,Cloudy,Chicken,Meat,19.5,7519,4522725.689369341,2,5,1,Special Promotion,80
2004-01-17,Saturday,Winter,Cold,Pork,Other,25.6,7778,4671572.858417085,30,7,7,None,77
2004-01-14,Wednesday,Winter,Cold,Eggs,Dairy,7.2,7055,4238403.646722721,4,21,1,Corporate Event,83
2004-01-25,Sunday,Winter,Snowy,Tomatoes,Vegetables,12.5,6010,3617396.0754023874,20,10,10,None,75
2004-01-09,Friday,Winter,Cold,Salmon,Other,36.8,7437,4471461.709002129,8,3,1,None,84
2004-01-25,Sunday,Winter,Cold,Tomatoes,Vegetables,12.5,7356,4378210.573624878,18,10,10,None,73
2004-01-17,Saturday,Winter,Cloudy,Pork,Other,25.6,7448,4461246.180312448,27,7,7,None,78
2004-01-27,Tuesday,Winter,Cloudy,Tomatoes,Vegetables,12.5,7234,4380356.258040906,3,10,1,None,81
2004-01-11,Sunday,Winter,Cold,Salmon,Other,36.8,7430,4448172.84465538,7,3,1,Special Promotion,85
2004-01-25,Sunday,Winter,Cold,Milk,Dairy,5.2,7418,4479983.321807,15,7,7,Birthdays,76
2004-01-11,Sunday,Winter,Snowy,Salmon,Other,36.8,5738,3437847.701826998,2,3,1,None,70
2004-01-13,Tuesday,Winter,Snowy,Salmon,Other,36.8,5786,3472174.084316554,17,3,3,None,60
2004-01-14,Wednesday,Winter,Cold,Eggs,Dairy,7.2,7304,4429000.089023817,4,21,1,Seasonal Event,85
2004-01-04,Sunday,Winter,Snowy,Cheese,Dairy,28.0,5513,3334150.7160700564,22,90,90,None,65
2004-01-18,Sunday,Winter,Cloudy,Pork,Other,25.6,7492,4494725.918027748,1,7,1,Holiday Special,86
2004-01-20,Tuesday,Winter,Cold,Pork,Other,25.6,7263,4397610.037627085,25,7,7,Corporate Event,80
2004-01-30,Friday,Winter,Cold,Tomatoes,Vegetables,12.5,7586,4582421.334750617,30,10,10,None,70
2004-01-16,Friday,Winter,Cold,Eggs,Dairy,7.2,7271,4363327.41800823,8,21,1,Corporate Event,83
2004-01-14,Wednesday,Winter,Snowy,Chicken,Meat,19.5,5453,3272222.3038529707,17,5,5,Holiday Special,60
2004-01-15,Thursday,Winter,Cloudy,Salmon,Other,36.8,7414,4481110.601510203,2,3,1,Birthdays,81
2004-01-17,Saturday,Winter,Cold,Salmon,Other,36.8,7458,4463572.242715751,20,3,3,Holiday Special,73
2004-01-17,Saturday,Winter,Cold,Salmon,Other,36.8,7817,4684532.131339801,9,3,1,None,83
2004-01-17,Saturday,Winter,Cloudy,Potatoes,Vegetables,1.4,7639,4574905.952135933,14,90,90,Corporate Event,78
2004-01-23,Friday,Winter,Cloudy,Pork,Other,25.6,7092,4264309.312096657,19,7,7,None,75
2004-01-17,Saturday,Winter,Cold,Chicken,Meat,19.5,7442,4493564.5425574295,5,5,1,None,85
2004-01-13,Tuesday,Winter,Cloudy,Lettuce,Vegetables,6.0,7711,4601156.9205248775,30,5,5,Seasonal Event,70
2004-01-04,Sunday,Winter,Cloudy,Cheese,Dairy,28.0,7069,4247418.4876122875,15,90,90,Corporate Event,80
2004-01-25,Sunday,Winter,Cold,Milk,Dairy,5.2,7048,4255599.470405614,28,7,7,None,79
2004-01-19,Monday,Winter,Cloudy,Eggs,Dairy,7.2,7426,4443673.8917881055,10,21,21,Birthdays,70
2004-01-20,Tuesday,Winter,Snowy,Salmon,Other,36.8,6246,3757552.3525686595,20,3,3,None,75
2004-01-20,Tuesday,Winter,Cold,Eggs,Dairy,7.2,7451,4451496.342646476,26,21,21,Corporate Event,73
2004-01-20,Tuesday,Winter,Cloudy,Salmon,Other,36.8,7173,4303474.680374915,18,3,3,Birthdays,74
2004-01-24,Saturday,Winter,Cloudy,Pork,Other,25.6,7308,4404188.148916326,9,7,1,Seasonal Event,86
2004-01-12,Monday,Winter,Snowy,Apples,Fruits,4.4,5751,3439562.4369747196,15,30,30,Corporate Event,60
2004-01-18,Sunday,Winter,Cold,Chicken,Meat,19.5,7286,4363119.932547138,13,5,5,Corporate Event,75
2004-01-20,Tuesday,Winter,Cold,Potatoes,Vegetables,1.4,7172,4330284.828715044,25,90,90,Birthdays,77
2004-01-13,Tuesday,Winter,Snowy,Lettuce,Vegetables,6.0,5887,3569414.64658223,19,5,5,Special Promotion,60
2004-01-26,Monday,Winter,Cloudy,Milk,Dairy,5.2,7519,4499149.919212162,5,7,1,Holiday Special,89
2004-01-29,Thursday,Winter,Snowy,Milk,Dairy,5.2,5619,3362509.5846792734,25,7,7,None,65
2004-01-20,Tuesday,Winter,Cloudy,Chicken,Meat,19.5,7444,4459701.829101839,8,5,1,Birthdays,83
2004-01-21,Wednesday,Winter,Cloudy,Eggs,Dairy,7.2,7195,4259470.167900133,7,21,1,Special Promotion,85
2004-01-21,Wednesday,Winter,Cloudy,Salmon,Other,36.8,7057,4246480.423811828,4,3,1,None,82
2004-01-30,Friday,Winter,Cloudy,Tomatoes,Vegetables,12.5,7506,4504323.71585142,7,10,1,Birthdays,82
2004-01-13,Tuesday,Winter,Cold,Apples,Fruits,4.4,7175,4306143.535768715,16,30,30,Seasonal Event,71
2004-01-23,Friday,Winter,Cloudy,Salmon,Other,36.8,7545,4553046.84496993,26,3,3,None,75
2004-01-25,Sunday,Winter,Cloudy,Pork,Other,25.6,7227,4331889.203316954,26,7,7,Holiday Special,76
2004-01-23,Friday,Winter,Cold,Eggs,Dairy,7.2,7115,4238659.78186048,8,21,1,None,85
2004-01-23,Friday,Winter,Cloudy,Salmon,Other,36.8,7165,4296679.7858775,15,3,3,None,73
2004-01-13,Tuesday,Winter,Cold,Apples,Fruits,4.4,6811,4081286.9710020935,18,30,30,Birthdays,75
2004-02-01,Sunday,Winter,Cold,Tomatoes,Vegetables,12.5,7481,4454061.702175564,15,10,10,None,74
2004-01-23,Friday,Winter,Cloudy,Potatoes,Vegetables,1.4,7547,4518717.156430527,23,90,90,Corporate Event,78
2004-01-06,Tuesday,Winter,Cloudy,Cheese,Dairy,28.0,7154,4295076.62516519,13,90,90,None,79
2004-01-25,Sunday,Winter,Cloudy,Pork,Other,25.6,7237,4358386.042270172,9,7,1,Seasonal Event,88
2004-01-31,Saturday,Winter,Cold,Milk,Dairy,5.2,7752,4645590.156786687,6,7,1,Seasonal Event,89
2004-01-26,Monday,Winter,Snowy,Salmon,Other,36.8,5883,3558756.1787907407,5,3,1,Special Promotion,70
2004-01-25,Sunday,Winter,Snowy,Pork,Other,25.6,5594,3382697.6730679455,3,7,1,Special Promotion,75
2004-01-27,Tuesday,Winter,Cloudy,Salmon,Other,36.8,7605,4555923.532555032,18,3,3,Special Promotion,75
2004-01-26,Monday,Winter,Cloudy,Potatoes,Vegetables,1.4,7324,4392289.763788108,1,90,1,None,87
2004-01-27,Tuesday,Winter,Cold,Pork,Other,25.6,7590,4554101.0995800495,29,7,7,None,78
2004-01-06,Tuesday,Winter,Cloudy,Cheese,Dairy,28.0,7556,4493270.414109523,19,90,90,Holiday Special,75
2004-02-01,Sunday,Winter,Snowy,Milk,Dairy,5.2,5711,3442519.3612344787,27,7,7,Corporate Event,65
2004-01-14,Wednesday,Winter,Cold,Apples,Fruits,4.4,7227,4327434.158338565,8,30,1,Special Promotion,83
2004-01-26,Monday,Winter,Cloudy,Potatoes,Vegetables,1.4,7273,4352753.259690718,17,90,90,None,78
2004-01-28,Wednesday,Winter,Cloudy,Potatoes,Vegetables,1.4,7090,4255739.170495715,22,90,90,Holiday Special,80
2004-02-02,Monday,Winter,Cloudy,Milk,Dairy,5.2,7305,4398517.927944399,24,7,7,Corporate Event,77
2004-01-26,Monday,Winter,Cloudy,Eggs,Dairy,7.2,7212,4320832.944240044,4,21,1,Birthdays,84
2004-01-23,Friday,Winter,Cold,Chicken,Meat,19.5,7299,4389429.867818821,12,5,5,Seasonal Event,73
2004-01-28,Wednesday,Winter,Snowy,Eggs,Dairy,7.2,5527,3321065.423490212,18,21,21,Birthdays,60
2004-01-08,Thursday,Winter,Cold,Cheese,Dairy,28.0,7673,4598924.929029319,23,90,90,Holiday Special,77
2004-01-26,Monday,Winter,Snowy,Chicken,Meat,19.5,5640,3375953.6421440654,16,5,5,Seasonal Event,60
2004-02-01,Sunday,Winter,Cloudy,Tomatoes,Vegetables,12.5,7568,4540041.592893043,3,10,1,Seasonal Event,83
2004-02-04,Wednesday,Winter,Cloudy,Milk,Dairy,5.2,7568,4571534.692463409,24,7,7,Special Promotion,80
2004-01-30,Friday,Winter,Cloudy,Eggs,Dairy,7.2,7430,4430300.654483567,6,21,1,None,81
2004-02-04,Wednesday,Winter,Snowy,Milk,Dairy,5.2,5766,3453001.44958009,3,7,1,Special Promotion,75
2004-01-09,Friday,Winter,Cold,Cheese,Dairy,28.0,7297,4353397.034322666,25,90,90,Corporate Event,77
2004-01-29,Thursday,Winter,Cold,Salmon,Other,36.8,7907,4752642.559968891,24,3,3,None,75
2004-01-15,Thursday,Winter,Cloudy,Lettuce,Vegetables,6.0,7415,4465468.541520262,12,5,5,Special Promotion,75
2004-01-30,Friday,Winter,Cloudy,Potatoes,Vegetables,1.4,7559,4548257.914017935,12,90,90,None,80
2004-01-27,Tuesday,Winter,Cold,Pork,Other,25.6,7340,4414017.151520142,8,7,1,None,87
2004-02-03,Tuesday,Winter,Snowy,Tomatoes,Vegetables,12.5,5674,3386121.294108771,29,10,10,None,60
2004-01-28,Wednesday,Winter,Snowy,Pork,Other,25.6,5577,3347950.9323291616,19,7,7,None,65
2004-01-16,Friday,Winter,Cold,Apples,Fruits,4.4,7386,4423139.625179173,28,30,30,Corporate Event,74
2004-02-01,Sunday,Winter,Snowy,Salmon,Other,36.8,5630,3394169.0985558275,28,3,3,Holiday Special,60
2004-01-28,Wednesday,Winter,Cold,Pork,Other,25.6,7021,4231406.0518961195,3,7,1,Special Promotion,85
2004-01-31,Saturday,Winter,Cold,Eggs,Dairy,7.2,7373,4398626.933327817,12,21,21,Birthdays,72
2004-01-31,Saturday,Winter,Snowy,Potatoes,Vegetables,1.4,5781,3465094.1641288716,3,90,1,None,75
2004-02-06,Friday,Winter,Cloudy,Milk,Dairy,5.2,7228,4360343.76526855,16,7,7,Birthdays,79
2004-01-29,Thursday,Winter,Snowy,Chicken,Meat,19.5,6343,3817996.896458465,4,5,1,Holiday Special,81
2004-02-01,Sunday,Winter,Snowy,Potatoes,Vegetables,1.4,5632,3383634.799233191,23,90,90,None,65
2004-01-29,Thursday,Winter,Cold,Pork,Other,25.6,7267,4331688.408496385,16,7,7,Corporate Event,77
2004-02-01,Sunday,Winter,Cloudy,Salmon,Other,36.8,7690,4571579.082009469,4,3,1,None,81
2004-02-02,Monday,Winter,Cold,Potatoes,Vegetables,1.4,7100,4293183.887170279,26,90,90,Holiday Special,79
2004-02-09,Monday,Winter,Snowy,Milk,Dairy,5.2,5954,3546100.2802361464,11,7,7,Holiday Special,65
2004-02-04,Wednesday,Winter,Cold,Tomatoes,Vegetables,12.5,7493,4515956.378856545,1,10,1,Holiday Special,80
2004-01-31,Saturday,Winter,Cloudy,Eggs,Dairy,7.2,7205,4335665.899369495,30,21,21,None,74
2004-02-02,Monday,Winter,Snowy,Salmon,Other,36.8,5405,3261221.131011885,12,3,3,Birthdays,60
2004-01-30,Friday,Winter,Cloudy,Pork,Other,25.6,7303,4362714.62032384,13,7,7,None,80
2004-02-01,Sunday,Winter,Snowy,Pork,Other,25.6,5559,3383124.2739876006,24,7,7,None,65
2004-01-11,Sunday,Winter,Snowy,Cheese,Dairy,28.0,5992,3586579.10055777,16,90,90,Corporate Event,65
2004-02-07,Saturday,Winter,Snowy,Tomatoes,Vegetables,12.5,5351,3235050.680451271,10,10,10,None,60
2004-02-13,Friday,Winter,Cold,Milk,Dairy,5.2,7440,4489241.671584241,27,7,7,Valentine's Day,77
2004-01-16,Friday,Winter,Snowy,Lettuce,Vegetables,6.0,5874,3503491.5912083327,29,5,5,Holiday Special,60
2004-02-01,Sunday,Winter,Snowy,Eggs,Dairy,7.2,5734,3458451.1355375107,21,21,21,Birthdays,60
2004-02-04,Wednesday,Winter,Cloudy,Pork,Other,25.6,7366,4432631.735254759,16,7,7,Holiday Special,79
2004-02-04,Wednesday,Winter,Cloudy,Pork,Other,25.6,7583,4558883.797918925,5,7,1,Holiday Special,87
2004-02-08,Sunday,Winter,Snowy,Tomatoes,Vegetables,12.5,6145,3690471.6926742545,12,10,10,None,71
2004-02-04,Wednesday,Winter,Snowy,Potatoes,Vegetables,1.4,5390,3262062.1896975273,3,90,1,Birthdays,75
2004-02-10,Tuesday,Winter,Cold,Tomatoes,Vegetables,12.5,7395,4442673.9804093875,16,10,10,Special Promotion,73
2004-02-01,Sunday,Winter,Cold,Eggs,Dairy,7.2,7556,4530913.465907379,23,21,21,Birthdays,70
2004-02-06,Friday,Winter,Cold,Pork,Other,25.6,7688,4604788.285904423,3,7,1,Seasonal Event,88
2004-02-08,Sunday,Winter,Snowy,Pork,Other,25.6,5494,3292457.299896638,25,7,7,Seasonal Event,65
2004-01-19,Monday,Winter,Cold,Lettuce,Vegetables,6.0,7169,4315051.214794408,1,5,1,Special Promotion,81
2004-01-30,Friday,Winter,Cold,Chicken,Meat,19.5,7354,4447145.772014894,11,5,5,Birthdays,75
2004-02-04,Wednesday,Winter,Snowy,Salmon,Other,36.8,5766,3438422.4333374836,11,3,3,Special Promotion,60
2004-02-10,Tuesday,Winter,Cloudy,Tomatoes,Vegetables,12.5,7349,4375386.87347585,8,10,1,Birthdays,80
2004-01-31,Saturday,Winter,Cold,Chicken,Meat,19.5,7459,4462550.111689422,12,5,5,Holiday Special,70
2004-01-16,Friday,Winter,Cold,Apples,Fruits,4.4,7463,4492106.388376769,10,30,30,Corporate Event,75
2004-02-03,Tuesday,Winter,Cloudy,Eggs,Dairy,7.2,7434,4443764.613070313,3,21,1,None,82
2004-02-16,Monday,Winter,Snowy,Milk,Dairy,5.2,5901,3551458.072012067,19,7,7,Corporate Event,65
2004-02-06,Friday,Winter,Snowy,Salmon,Other,36.8,5956,3548138.6821060856,20,3,3,Seasonal Event,60
2004-01-19,Monday,Winter,Cold,Lettuce,Vegetables,6.0,7380,4420982.828385339,25,5,5,None,72
2004-02-09,Monday,Winter,Snowy,Pork,Other,25.6,5399,3242204.8624466597,26,7,7,Birthdays,65
2004-02-18,Wednesday,Winter,Cold,Milk,Dairy,5.2,7470,4465562.834046543,24,7,7,Seasonal Event,78
2004-02-18,Wednesday,Winter,Cloudy,Milk,Dairy,5.2,7114,4266340.329268736,23,7,7,Special Promotion,77
2004-02-13,Friday,Winter,Snowy,Tomatoes,Vegetables,12.5,5939,3534744.3431864306,20,10,10,Valentine's Day,60
2004-01-19,Monday,Winter,Cloudy,Lettuce,Vegetables,6.0,7465,4488143.1168956775,10,5,5,Birthdays,75
2004-01-19,Monday,Winter,Snowy,Lettuce,Vegetables,6.0,5518,3332992.7308975384,8,5,1,Corporate Event,70
2004-01-16,Friday,Winter,Snowy,Apples,Fruits,4.4,5789,3516891.297874464,8,30,1,None,70
2004-01-11,Sunday,Winter,Cloudy,Cheese,Dairy,28.0,7202,4354507.736946501,19,90,90,None,76
2004-02-21,Saturday,Winter,Snowy,Milk,Dairy,5.2,5644,3387233.0304864724,21,7,7,Corporate Event,65
2004-02-15,Sunday,Winter,Cold,Tomatoes,Vegetables,12.5,6977,4210861.513831031,10,10,10,None,74
